filename,n_redactions
01533.txt,9
01534.txt,12
01535.txt,13
01536.txt,16
01537.txt,57
01538.txt,3
01539.txt,4
01540.txt,24
01541.txt,6
01542.txt,13
01543.txt,0
01544.txt,6
01545.txt,3
01546.txt,7
01547.txt,14
01548.txt,0
01549.txt,17
01550.txt,4
01551.txt,122
01552.txt,19
01553.txt,2
01554.txt,1
01555.txt,19
01556.txt,10
01557.txt,8
01558.txt,17
01559.txt,7
01560.txt,20
01561.txt,6
01562.txt,0
01563.txt,4
01564.txt,29
01565.txt,63
01566.txt,2
01567.txt,4
01568.txt,4
01569.txt,4
01570.txt,5
01571.txt,3
01572.txt,21
01573.txt,0
01574.txt,8
01575.txt,0
01576.txt,5
01577.txt,12
01578.txt,4
01579.txt,6
01580.txt,6
01581.txt,6
01582.txt,2
01583.txt,5
01584.txt,1
01585.txt,0
01586.txt,26
01587.txt,10
01588.txt,8
01589.txt,1
01590.txt,49
01591.txt,5
01592.txt,17
01593.txt,6
01594.txt,1
01595.txt,8
01596.txt,15
01597.txt,20
01598.txt,3
01599.txt,23
01600.txt,34
01601.txt,5
01602.txt,20
01603.txt,5
01604.txt,1
01605.txt,10
01606.txt,3
01607.txt,15
01608.txt,4
01609.txt,48
01610.txt,11
01611.txt,8
01612.txt,15
01613.txt,17
01614.txt,15
01615.txt,24
01616.txt,3
01617.txt,65
01618.txt,13
01619.txt,7
01620.txt,16
01621.txt,3
01622.txt,2
01623.txt,0
01624.txt,10
01625.txt,25
01626.txt,2
01627.txt,9
01628.txt,10
01629.txt,3
01630.txt,2
01631.txt,2
01632.txt,33
01633.txt,2
01634.txt,12
01635.txt,76
01636.txt,7
01637.txt,7
01638.txt,18
01639.txt,3
01640.txt,17
01641.txt,33
01642.txt,27
01643.txt,8
01644.txt,45
01645.txt,4
01646.txt,2
01647.txt,23
01648.txt,0
01649.txt,1
01650.txt,2
01651.txt,0
01652.txt,1
01653.txt,2
01654.txt,21
01655.txt,46
01656.txt,3
01657.txt,4
01658.txt,42
01659.txt,11
01660.txt,3
01661.txt,2
01662.txt,13
01663.txt,10
01664.txt,18
01665.txt,126
01666.txt,0
01667.txt,8
01668.txt,6
01669.txt,9
01670.txt,0
01671.txt,5
01672.txt,5
01673.txt,29
01674.txt,48
01675.txt,3
01676.txt,6
01677.txt,16
01678.txt,1
01679.txt,12
01680.txt,7
01681.txt,0
01682.txt,0
01683.txt,29
01684.txt,16
01685.txt,0
01686.txt,0
01687.txt,3
01688.txt,6
01689.txt,9
01690.txt,4
01691.txt,6
01692.txt,0
01693.txt,3
01694.txt,6
01695.txt,53
01696.txt,15
01697.txt,43
01698.txt,2
01699.txt,7
01700.txt,2
01701.txt,16
01702.txt,11
01703.txt,21
01704.txt,14
